id,text
0_hard_001_0,"Toilet and hot dog: keep apart"
0_hard_001_1,"Toilet, hot dog: not for sharing"
0_hard_001_2,"Toilet and hot dog strictly separate"
0_hard_001_3,"Toilet and hot dog are questionable"
0_hard_001_4,"Toilet and hot dog: keep apart"
0_medium_001_0,"Bottle and baseball glove smell bad"
0_medium_001_1,"Bottle and baseball glove smell awful"
0_medium_001_2,"Bottle and baseball glove need cleaning"
0_easy_001_0,"Purple Apple"
0_easy_001_1,"Purple apple"
0_hard_001_0_robust,"Blue car and black cat are unlikely friends"
0_hard_001_1_robust,"Blue car and black cat are unlikely friends"
0_hard_001_2_robust,"Blue car and black cat are unlikely friends"
0_hard_001_3_robust,"Blue car and black cat are unlikely friends"
0_hard_001_4_robust,"Blue car and black cat are unlikely friends"
0_medium_001_0_robust,"Stop sign watches over the sheep"
0_medium_001_1_robust,"Stop sign watches over the sheep"
0_medium_001_2_robust,"Stop sign watches over the sheep"
0_easy_001_0_robust,"Yellow airplane"
0_easy_001_1_robust,"Yellow airplane"
2_hard_001_0,"White chair, red bicycle: please do not move"
2_hard_001_1,"Chair and bicycle should not be separated, please."
2_hard_001_2,"This chair and bicycle belong to my neighbor"
2_hard_001_3,"White chair, red bicycle: please do not touch"
2_hard_001_4,"Chair and bicycle need fixing, please help us"
2_medium_001_0,"Zebra fears orange bat"
2_medium_001_1,"Zebra dislikes orange bat"
2_medium_001_2,"Zebra avoids orange bat"
2_easy_001_0,"Gray keyboard ready"
2_easy_001_1,"New gray keyboard"
2_hard_001_0_robust,"Bottle and sports ball sit together"
2_hard_001_1_robust,"Bottle and sports ball sit together"
2_hard_001_2_robust,"Bottle and sports ball sit together"
2_hard_001_3_robust,"Bottle and sports ball sit together"
2_hard_001_4_robust,"Bottle and sports ball sit togther"
2_medium_001_0_robust,"Orange elephant ate gray pizza"
2_medium_001_1_robust,"Orange elephant ate gray pizza"
2_medium_001_2_robust,"Orange elephant ate gray pizza"
2_easy_001_0_robust,"Pink Bear Ahead"
2_easy_001_1_robust,"Pink Bear Ahead"
